Timestamp,Value,Type
22:11:43.136,"10\r\n",received
22:11:43.136,"10\r\n",received
22:11:43.136,"11\r\n",received
22:11:43.136,"12\r\n",received
22:11:43.136,"11\r\n",received
22:11:43.136,"11\r\n",received
22:11:43.136,"11\r\n",received
22:11:43.136,"10\r\n",received
22:11:43.136,"10\r\n",received
22:11:43.136,"9\r\n",received
22:11:43.136,"8\r\n",received
22:11:43.136,"9\r\n",received
22:11:43.136,"9\r\n",received
22:11:43.136,"9\r\n",received
22:11:43.136,"8\r\n",received
22:11:43.136,"7\r\n",received
22:11:43.136,"6\r\n",received
22:11:43.136,"7\r\n",received
22:11:43.136,"6\r\n",received
22:11:43.136,"7\r\n",received
22:11:43.136,"4\r\n",received
22:11:43.136,"4\r\n",received
22:11:43.136,"3\r\n",received
22:11:43.136,"4\r\n",received
22:11:43.136,"4\r\n",received
22:11:43.136,"3\r\n",received
22:11:43.136,"2\r\n",received
22:11:43.136,"2\r\n",received
22:11:43.136,"1\r\n",received
22:11:43.136,"1\r\n",received
22:11:43.136,"1\r\n",received
22:11:43.136,"1\r\n",received
22:11:43.136,"1\r\n",received
22:11:43.151,"1\r\n",received
22:11:43.151,"1\r\n",received
22:11:43.151,"1\r\n",received
22:11:43.151,"2\r\n",received
22:11:43.151,"1\r\n",received
22:11:43.151,"2\r\n",received
22:11:43.151,"3\r\n",received
22:11:43.151,"3\r\n",received
22:11:43.151,"2\r\n",received
22:11:43.151,"3\r\n",received
22:11:43.151,"3\r\n",received
22:11:43.151,"2\r\n",received
22:11:43.151,"2\r\n",received
22:11:43.151,"2\r\n",received
22:11:43.151,"0\r\n",received
22:11:43.151,"2\r\n",received
22:11:43.151,"2\r\n",received
22:11:43.151,"1\r\n",received
22:11:43.151,"-1\r\n",received
22:11:43.151,"0\r\n",received
22:11:43.151,"1\r\n",received
22:11:43.151,"-1\r\n",received
22:11:43.151,"-2\r\n",received
22:11:43.151,"-2\r\n",received
22:11:43.151,"-1\r\n",received
22:11:43.151,"-1\r\n",received
22:11:43.151,"-2\r\n",received
22:11:43.151,"-2\r\n",received
22:11:43.151,"1\r\n",received
22:11:43.151,"0\r\n",received
22:11:43.151,"0\r\n",received
22:11:43.151,"0\r\n",received
22:11:43.151,"0\r\n",received
22:11:43.151,"0\r\n",received
22:11:43.151,"-1\r\n",received
22:11:43.151,"-1\r\n",received
22:11:43.151,"8\r\n",received
22:11:43.151,"7\r\n",received
22:11:43.151,"8\r\n",received
22:11:43.151,"7\r\n",received
22:11:43.151,"7\r\n",received
22:11:43.151,"5\r\n",received
22:11:43.151,"5\r\n",received
22:11:43.151,"6\r\n",received
22:11:43.151,"6\r\n",received
22:11:43.151,"5\r\n",received
22:11:43.151,"5\r\n",received
22:11:43.151,"4\r\n",received
22:11:43.151,"5\r\n",received
22:11:43.151,"4\r\n",received
22:11:43.151,"5\r\n",received
22:11:43.151,"4\r\n",received
22:11:43.151,"6\r\n",received
22:11:43.151,"5\r\n",received
22:11:43.151,"5\r\n",received
22:11:43.151,"6\r\n",received
22:11:43.151,"6\r\n",received
22:11:43.151,"6\r\n",received
22:11:43.151,"6\r\n",received
22:11:43.151,"6\r\n",received
22:11:43.151,"7\r\n",received
22:11:43.151,"8\r\n",received
22:11:43.151,"8\r\n",received
22:11:43.151,"8\r\n",received
22:11:43.151,"7\r\n",received
22:11:43.151,"8\r\n",received
22:11:43.151,"7\r\n",received
22:11:43.151,"6\r\n",received
