Timestamp,Value,Type
22:11:00.649,"-6\r\n",received
22:11:00.649,"-5\r\n",received
22:11:00.649,"-6\r\n",received
22:11:00.649,"-5\r\n",received
22:11:00.649,"-4\r\n",received
22:11:00.649,"-5\r\n",received
22:11:00.649,"-4\r\n",received
22:11:00.649,"-2\r\n",received
22:11:00.649,"-2\r\n",received
22:11:00.649,"-2\r\n",received
22:11:00.649,"-2\r\n",received
22:11:00.649,"-3\r\n",received
22:11:00.649,"-3\r\n",received
22:11:00.649,"-2\r\n",received
22:11:00.649,"-2\r\n",received
22:11:00.649,"-3\r\n",received
22:11:00.649,"-3\r\n",received
22:11:00.649,"-3\r\n",received
22:11:00.649,"-3\r\n",received
22:11:00.649,"-2\r\n",received
22:11:00.649,"-3\r\n",received
22:11:00.649,"-4\r\n",received
22:11:00.649,"-4\r\n",received
22:11:00.649,"-4\r\n",received
22:11:00.649,"-6\r\n",received
22:11:00.649,"-6\r\n",received
22:11:00.649,"-6\r\n",received
22:11:00.649,"-8\r\n",received
22:11:00.649,"-9\r\n",received
22:11:00.649,"-10\r\n",received
22:11:00.663,"-9\r\n",received
22:11:00.663,"-9\r\n",received
22:11:00.663,"-10\r\n",received
22:11:00.663,"-11\r\n",received
22:11:00.663,"-12\r\n",received
22:11:00.663,"-13\r\n",received
22:11:00.663,"-11\r\n",received
22:11:00.663,"-13\r\n",received
22:11:00.663,"-13\r\n",received
22:11:00.663,"-13\r\n",received
22:11:00.663,"-12\r\n",received
22:11:00.663,"-14\r\n",received
22:11:00.663,"-15\r\n",received
22:11:00.663,"-15\r\n",received
22:11:00.663,"-17\r\n",received
22:11:00.663,"-15\r\n",received
22:11:00.663,"-16\r\n",received
22:11:00.663,"-16\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-4\r\n",received
22:11:00.663,"-4\r\n",received
22:11:00.663,"-5\r\n",received
22:11:00.663,"-4\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-4\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-4\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-2\r\n",received
22:11:00.663,"-2\r\n",received
22:11:00.663,"-2\r\n",received
22:11:00.663,"-2\r\n",received
22:11:00.663,"-1\r\n",received
22:11:00.663,"-2\r\n",received
22:11:00.663,"-1\r\n",received
22:11:00.663,"-1\r\n",received
22:11:00.663,"-2\r\n",received
22:11:00.663,"-1\r\n",received
22:11:00.663,"-2\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.663,"-3\r\n",received
22:11:00.677,"-3\r\n",received
22:11:00.677,"-2\r\n",received
22:11:00.677,"-3\r\n",received
22:11:00.677,"-3\r\n",received
22:11:00.677,"-2\r\n",received
22:11:00.677,"-2\r\n",received
22:11:00.677,"-4\r\n",received
22:11:00.677,"-4\r\n",received
22:11:00.677,"-4\r\n",received
22:11:00.677,"-5\r\n",received
22:11:00.677,"-5\r\n",received
22:11:00.677,"-5\r\n",received
22:11:00.677,"-5\r\n",received
22:11:00.677,"-6\r\n",received
22:11:00.677,"-7\r\n",received
22:11:00.677,"-7\r\n",received
22:11:00.677,"-7\r\n",received
22:11:00.677,"-8\r\n",received
22:11:00.677,"-8\r\n",received
22:11:00.677,"-7\r\n",received
22:11:00.677,"-7\r\n",received
22:11:00.677,"6\r\n",received
22:11:00.677,"5\r\n",received
22:11:00.677,"4\r\n",received
22:11:00.677,"3\r\n",received
22:11:00.677,"4\r\n",received
22:11:00.677,"3\r\n",received
22:11:00.677,"4\r\n",received
22:11:00.677,"3\r\n",received
22:11:00.677,"2\r\n",received
22:11:00.677,"2\r\n",received
22:11:00.677,"1\r\n",received
22:11:00.677,"1\r\n",received
22:11:00.677,"0\r\n",received
22:11:00.677,"1\r\n",received
22:11:00.677,"0\r\n",received
22:11:00.677,"1\r\n",received
22:11:00.677,"2\r\n",received
22:11:00.677,"2\r\n",received
22:11:00.677,"1\r\n",received
22:11:00.677,"1\r\n",received
22:11:00.677,"2\r\n",received
22:11:00.677,"0\r\n",received
22:11:00.677,"0\r\n",received
22:11:00.677,"-1\r\n",received
22:11:00.677,"0\r\n",received
22:11:00.677,"0\r\n",received
22:11:00.677,"0\r\n",received
22:11:00.677,"-1\r\n",received
22:11:00.677,"-1\r\n",received
22:11:00.677,"-1\r\n",received
22:11:00.677,"-1\r\n",received
22:11:00.677,"-2\r\n",received
22:11:00.677,"-2\r\n",received
22:11:00.677,"-1\r\n",received
22:11:00.677,"-1\r\n",received
22:11:00.677,"-2\r\n",received
22:11:00.677,"-1\r\n",received
22:11:00.677,"-2\r\n",received
22:11:00.677,"-2\r\n",received
22:11:00.677,"-2\r\n",received
22:11:00.690,"-3\r\n",received
22:11:00.690,"-2\r\n",received
22:11:00.690,"-2\r\n",received
22:11:00.690,"-2\r\n",received
22:11:00.690,"-4\r\n",received
22:11:00.690,"-2\r\n",received
22:11:00.690,"-2\r\n",received
22:11:00.690,"-4\r\n",received
22:11:00.690,"-4\r\n",received
22:11:00.690,"-5\r\n",received
22:11:00.690,"-4\r\n",received
22:11:00.690,"-4\r\n",received
22:11:00.690,"-5\r\n",received
22:11:00.690,"-4\r\n",received
22:11:00.690,"-6\r\n",received
22:11:00.690,"-7\r\n",received
22:11:00.690,"-8\r\n",received
22:11:00.690,"-7\r\n",received
22:11:00.690,"-8\r\n",received
22:11:00.690,"-1\r\n",received
22:11:00.690,"-1\r\n",received
22:11:00.690,"-1\r\n",received
22:11:00.690,"0\r\n",received
22:11:00.690,"0\r\n",received
22:11:00.690,"0\r\n",received
22:11:00.690,"0\r\n",received
22:11:00.690,"2\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"2\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"2\r\n",received
22:11:00.690,"2\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"2\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"0\r\n",received
22:11:00.690,"1\r\n",received
22:11:00.690,"0\r\n",received
22:11:00.690,"-1\r\n",received
22:11:00.690,"-1\r\n",received
22:11:00.690,"0\r\n",received
22:11:00.690,"-1\r\n",received
22:11:00.690,"-1\r\n",received
22:11:00.690,"-1\r\n",received
22:11:00.690,"-2\r\n",received
22:11:00.690,"-2\r\n",received
22:11:00.690,"-3\r\n",received
22:11:00.690,"-4\r\n",received
22:11:00.690,"-4\r\n",received
22:11:00.722,"-4\r\n",received
22:11:00.722,"-4\r\n",received
22:11:00.722,"-5\r\n",received
22:11:00.722,"-5\r\n",received
22:11:00.722,"-5\r\n",received
22:11:00.722,"-6\r\n",received
22:11:00.722,"-5\r\n",received
22:11:00.722,"-5\r\n",received
22:11:00.722,"-5\r\n",received
22:11:00.722,"-6\r\n",received
22:11:00.722,"-6\r\n",received
22:11:00.722,"-7\r\n",received
22:11:00.722,"-7\r\n",received
22:11:00.722,"-8\r\n",received
22:11:00.722,"-8\r\n",received
22:11:00.722,"-8\r\n",received
22:11:00.722,"-9\r\n",received
22:11:00.722,"-10\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"9\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"10\r\n",received
22:11:00.722,"9\r\n",received
22:11:00.722,"9\r\n",received
22:11:00.722,"9\r\n",received
22:11:00.722,"9\r\n",received
22:11:00.722,"8\r\n",received
22:11:00.722,"8\r\n",received
22:11:00.722,"8\r\n",received
22:11:00.722,"7\r\n",received
22:11:00.722,"7\r\n",received
22:11:00.722,"7\r\n",received
22:11:00.722,"7\r\n",received
22:11:00.722,"7\r\n",received
22:11:00.722,"6\r\n",received
22:11:00.722,"7\r\n",received
22:11:00.722,"7\r\n",received
22:11:00.722,"7\r\n",received
22:11:00.722,"7\r\n",received
22:11:00.722,"6\r\n",received
22:11:00.722,"6\r\n",received
22:11:00.722,"6\r\n",received
22:11:00.722,"6\r\n",received
22:11:00.722,"6\r\n",received
22:11:00.722,"4\r\n",received
22:11:00.722,"4\r\n",received
22:11:00.722,"4\r\n",received
22:11:00.722,"3\r\n",received
22:11:00.722,"3\r\n",received
22:11:00.722,"2\r\n",received
22:11:00.722,"1\r\n",received
22:11:00.722,"1\r\n",received
22:11:00.722,"2\r\n",received
22:11:00.722,"1\r\n",received
22:11:00.737,"0\r\n",received
22:11:00.737,"1\r\n",received
22:11:00.737,"0\r\n",received
22:11:00.737,"0\r\n",received
22:11:00.737,"0\r\n",received
22:11:00.737,"-1\r\n",received
22:11:00.737,"0\r\n",received
22:11:00.737,"-1\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-2\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-3\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.737,"-4\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-4\r\n",received
22:11:00.750,"-4\r\n",received
22:11:00.750,"-6\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-4\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-6\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-4\r\n",received
22:11:00.750,"2\r\n",received
22:11:00.750,"3\r\n",received
22:11:00.750,"3\r\n",received
22:11:00.750,"2\r\n",received
22:11:00.750,"2\r\n",received
22:11:00.750,"3\r\n",received
22:11:00.750,"3\r\n",received
22:11:00.750,"2\r\n",received
22:11:00.750,"3\r\n",received
22:11:00.750,"3\r\n",received
22:11:00.750,"2\r\n",received
22:11:00.750,"1\r\n",received
22:11:00.750,"1\r\n",received
22:11:00.750,"0\r\n",received
22:11:00.750,"0\r\n",received
22:11:00.750,"0\r\n",received
22:11:00.750,"-1\r\n",received
22:11:00.750,"-1\r\n",received
22:11:00.750,"-1\r\n",received
22:11:00.750,"0\r\n",received
22:11:00.750,"-1\r\n",received
22:11:00.750,"-2\r\n",received
22:11:00.750,"-2\r\n",received
22:11:00.750,"-4\r\n",received
22:11:00.750,"-4\r\n",received
22:11:00.750,"-4\r\n",received
22:11:00.750,"-3\r\n",received
22:11:00.750,"-4\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-6\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-6\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.750,"-5\r\n",received
22:11:00.759,"-6\r\n",received
22:11:00.759,"-5\r\n",received
22:11:00.759,"-5\r\n",received
22:11:00.759,"-6\r\n",received
22:11:00.759,"-5\r\n",received
22:11:00.759,"-6\r\n",received
22:11:00.759,"-7\r\n",received
22:11:00.759,"-7\r\n",received
22:11:00.759,"-7\r\n",received
22:11:00.759,"-7\r\n",received
22:11:00.759,"-8\r\n",received
22:11:00.759,"-8\r\n",received
22:11:00.759,"-8\r\n",received
22:11:00.759,"-7\r\n",received
22:11:00.759,"-8\r\n",received
22:11:00.759,"-9\r\n",received
22:11:00.759,"-9\r\n",received
22:11:00.759,"-9\r\n",received
22:11:00.759,"4\r\n",received
22:11:00.759,"3\r\n",received
22:11:00.759,"4\r\n",received
22:11:00.759,"4\r\n",received
22:11:00.759,"4\r\n",received
22:11:00.759,"5\r\n",received
22:11:00.759,"5\r\n",received
22:11:00.759,"5\r\n",received
22:11:00.759,"6\r\n",received
22:11:00.759,"7\r\n",received
22:11:00.759,"7\r\n",received
22:11:00.759,"7\r\n",received
22:11:00.759,"6\r\n",received
22:11:00.759,"6\r\n",received
22:11:00.759,"6\r\n",received
22:11:00.759,"6\r\n",received
22:11:00.759,"5\r\n",received
22:11:00.759,"6\r\n",received
22:11:00.759,"6\r\n",received
22:11:00.759,"5\r\n",received
22:11:00.759,"5\r\n",received
22:11:00.759,"5\r\n",received
22:11:00.759,"3\r\n",received
22:11:00.759,"4\r\n",received
22:11:00.759,"3\r\n",received
22:11:00.759,"3\r\n",received
22:11:00.759,"2\r\n",received
22:11:00.759,"2\r\n",received
22:11:00.759,"1\r\n",received
22:11:00.759,"0\r\n",received
22:11:00.759,"1\r\n",received
22:11:00.759,"0\r\n",received
22:11:00.759,"0\r\n",received
22:11:00.759,"-1\r\n",received
22:11:00.759,"-1\r\n",received
22:11:00.759,"-2\r\n",received
22:11:00.759,"-3\r\n",received
22:11:00.759,"-2\r\n",received
22:11:00.759,"-3\r\n",received
22:11:00.759,"-4\r\n",received
22:11:00.759,"-4\r\n",received
22:11:00.759,"-3\r\n",received
22:11:00.759,"-3\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.773,"-1\r\n",received
22:11:00.773,"-2\r\n",received
22:11:00.773,"-2\r\n",received
22:11:00.773,"-2\r\n",received
22:11:00.773,"-2\r\n",received
22:11:00.773,"-2\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.773,"-2\r\n",received
22:11:00.773,"-4\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.773,"4\r\n",received
22:11:00.773,"5\r\n",received
22:11:00.773,"4\r\n",received
22:11:00.773,"4\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"6\r\n",received
22:11:00.773,"4\r\n",received
22:11:00.773,"5\r\n",received
22:11:00.773,"5\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"4\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"2\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"2\r\n",received
22:11:00.773,"2\r\n",received
22:11:00.773,"1\r\n",received
22:11:00.773,"1\r\n",received
22:11:00.773,"2\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"2\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"4\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"3\r\n",received
22:11:00.773,"2\r\n",received
22:11:00.773,"2\r\n",received
22:11:00.773,"2\r\n",received
22:11:00.773,"1\r\n",received
22:11:00.773,"1\r\n",received
22:11:00.773,"0\r\n",received
22:11:00.773,"-1\r\n",received
22:11:00.773,"0\r\n",received
22:11:00.773,"-1\r\n",received
22:11:00.773,"-1\r\n",received
22:11:00.773,"-1\r\n",received
22:11:00.773,"-1\r\n",received
22:11:00.773,"-2\r\n",received
22:11:00.773,"-3\r\n",received
22:11:00.788,"-2\r\n",received
