Timestamp,Value,Type
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.33,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"0\r\n",received
22:19:30.55,"-17618\r\n",received
22:19:30.77,"-17613\r\n",received
22:19:30.77,"-17609\r\n",received
22:19:30.77,"-17605\r\n",received
22:19:30.77,"-17600\r\n",received
22:19:30.77,"-17596\r\n",received
22:19:30.77,"-17592\r\n",received
22:19:30.77,"-17588\r\n",received
22:19:30.77,"-17583\r\n",received
