Timestamp,Value,Type
18:20:40.246,"14\r\n",received
18:20:40.246,"15\r\n",received
18:20:40.246,"12\r\n",received
18:20:40.246,"14\r\n",received
18:20:40.246,"16\r\n",received
18:20:40.246,"14\r\n",received
18:20:40.246,"6\r\n",received
18:20:40.246,"-1\r\n",received
18:20:40.246,"1\r\n",received
18:20:40.246,"4\r\n",received
18:20:40.246,"6\r\n",received
18:20:40.246,"7\r\n",received
18:20:40.246,"8\r\n",received
18:20:40.246,"2\r\n",received
18:20:40.246,"-3\r\n",received
18:20:40.246,"-9\r\n",received
18:20:40.246,"-7\r\n",received
18:20:40.246,"-5\r\n",received
18:20:40.246,"-4\r\n",received
18:20:40.246,"-5\r\n",received
18:20:40.246,"2\r\n",received
18:20:40.246,"9\r\n",received
18:20:40.246,"17\r\n",received
18:20:40.246,"21\r\n",received
18:20:40.246,"15\r\n",received
18:20:40.246,"8\r\n",received
18:20:40.246,"3\r\n",received
18:20:40.246,"5\r\n",received
18:20:40.246,"8\r\n",received
18:20:40.246,"14\r\n",received
18:20:40.246,"16\r\n",received
18:20:40.246,"15\r\n",received
18:20:40.246,"13\r\n",received
18:20:40.246,"11\r\n",received
18:20:40.246,"13\r\n",received
18:20:40.246,"16\r\n",received
18:20:40.246,"18\r\n",received
18:20:40.246,"16\r\n",received
18:20:40.246,"14\r\n",received
18:20:40.246,"13\r\n",received
18:20:40.246,"7\r\n",received
18:20:40.246,"6\r\n",received
18:20:40.246,"8\r\n",received
18:20:40.246,"12\r\n",received
18:20:40.246,"15\r\n",received
18:20:40.246,"17\r\n",received
18:20:40.246,"18\r\n",received
18:20:40.246,"21\r\n",received
18:20:40.246,"15\r\n",received
18:20:40.246,"11\r\n",received
18:20:40.246,"13\r\n",received
18:20:40.246,"16\r\n",received
18:20:40.246,"17\r\n",received
18:20:40.246,"19\r\n",received
18:20:40.246,"20\r\n",received
18:20:40.246,"18\r\n",received
18:20:40.246,"13\r\n",received
18:20:40.246,"11\r\n",received
